District Council,District Council (group),Region
Central and Western,HK Isand,Hong Kong Island
Wan Chai,HK Isand,Hong Kong Island
Eastern,HK Isand,Hong Kong Island
Southern,HK Isand,Hong Kong Island
Yau Tsim Mong,East,Kowloon
Sham Shui Po,East,Kowloon
Kowloon City,East,Kowloon
Wong Tai Sin,East,Kowloon
Kwun Tong,East,Kowloon
Kwai Tsing,West,New Territories
Tsuen Wan,West,New Territories
Tuen Mun,West,New Territories
Yuen Long,West,New Territories
North,East,New Territories
Tai Po,East,New Territories
Sha Tin,East,New Territories
Sai Kung,East,New Territories
Islands,West,New Territories
