,region,latitude,longitude
0,Hong Kong Observatory,22.301944444444445,114.17416666666666
1,Hong Kong International Airport,22.309444444444445,113.92194444444445
2,Beas River,22.493333333333336,114.10499999999999
3,Bluff Head,22.1975,114.21194444444444
4,Central Pier,22.28888888888889,114.15583333333333
5,Cheung Chau,22.20111111111111,114.02666666666667
6,Ching Pak House(Tsing Yi),22.348055555555554,114.10916666666667
7,Clear Water Bay,22.263333333333332,114.29972222222221
8,Green Island,22.285,114.11277777777777
9,Happy Valley,22.270555555555553,114.18361111111112
10,Hong Kong Park,22.278333333333332,114.16222222222223
11,Kai Tak,22.309722222222224,114.21333333333334
12,Kai Tak Runway Park,22.305,114.21694444444445
13,Kadoorie Farm and Botanic Garden,22.43277777777778,114.12083333333332
14,Kat O,22.53638888888889,114.30194444444444
15,Kau Sai Chau,22.37027777777778,114.3125
16,King's Park,22.311944444444446,114.17277777777778
17,Kowloon City,22.334999999999997,114.18472222222222
18,Kwun Tong,22.31861111111111,114.22472222222223
19,Lamma Island,22.22611111111111,114.1086111111111
20,Lau Fau Shan,22.468888888888888,113.98361111111112
21,Nei Lak Shan,22.263333333333332,113.91111111111111
22,New Tsing Yi Station,22.344166666666666,114.11
23,Ngong Ping,22.25861111111111,113.91277777777778
24,Pak Tam Chung (Tsak Yue Wu),22.402777777777775,114.32305555555556
25,Peng Chau,22.291111111111114,114.04333333333334
26,Ping Chau,22.546666666666667,114.42833333333334
27,Sai Kung,22.375555555555557,114.27444444444444
28,Sha Lo Wan,22.291111111111114,113.90694444444445
29,Sha Tin,22.4025,114.21000000000001
30,Sham Shui Po,22.335833333333333,114.13694444444445
31,Shau Kei Wan,22.281666666666666,114.23611111111111
32,Shek Kong,22.43611111111111,114.08472222222221
33,Sheung Shui,22.501944444444444,114.1111111111111
34,Stanley,22.214166666666667,114.21861111111112
35,Ta Kwu Ling,22.52861111111111,114.15666666666667
36,Tai Lung,22.484722222222224,114.11749999999999
37,Tai Mei Tuk,22.475277777777777,114.2375
38,Tai Mo Shan,22.410555555555554,114.12444444444444
39,Tai Po(Yuen Chau Tsai Park),22.448333333333334,114.17722222222223
40,Tap Mun,22.47138888888889,114.36055555555555
41,Tate's Cairn,22.35777777777778,114.21777777777778
42,The Peak,22.264166666666668,114.155
43,Tseung Kwan O,22.315833333333334,114.25555555555556
44,Tsuen Wan,22.38361111111111,114.10777777777777
45,Tsuen Wan Shing Mun Valley,22.375555555555557,114.12666666666667
46,Tuen Mun Children and Juvenile Home,22.385833333333334,113.96416666666667
47,Waglan Island,22.182222222222222,114.30333333333333
48,Wetland Park,22.466666666666665,114.00888888888889
49,Wong Chuk Hang,22.247777777777777,114.17361111111111
50,Wong Tai Sin,22.339444444444442,114.20527777777778
51,Yuen Long Park,22.440833333333334,114.01833333333333
52,"Automatic Weather Buoy No.2 (Hong Kong International Airport, West)",22.291111111111114,113.88222222222221
53,"Automatic Weather Buoy No.8 (Hong Kong International Airport, East)",22.305833333333332,113.9538888888889
54,Cheung Chau Beach,22.210833333333333,114.02916666666667
55,North Point,22.294444444444448,114.19972222222222
56,Sha Chau,22.34583333333333,113.89111111111112
57,Shell Oil Depot,22.346666666666664,114.08638888888889
58,Star Ferry(Kowloon),22.293055555555558,114.16861111111112
59,Tai Mo To,22.329722222222223,113.96666666666667
60,Tai O,22.25611111111111,113.85472222222222
61,Tai Po Kau,22.4425,114.18416666666667
62,Tuen Mun Government Offices,22.390555555555554,113.97666666666667
63,Yi Tung Shan,22.259166666666665,113.96416666666667
64,Tap Mun East,22.46833333333333,114.36305555555555
65,Au Tau,22.45,114.05305555555556
66,Cape D'Aguilar,22.209444444444443,114.25472222222223
67,Discovery Bay,22.29138888888889,114.00916666666667
68,Po Pin Chau,22.361666666666668,114.37138888888889
69,Lok Ma Chau,22.511666666666667,114.08027777777778
70,Ngong Ping Fresh Water Reservoir,22.255555555555556,113.9113888888889
71,Quarry Bay,22.291111111111114,114.21333333333334
72,Hong Kong Adventist College(Sai Kung),22.3075,114.28694444444444
73,Sha Tau Kok,22.5375,114.21111111111111
74,Tai Mei Tuk Pumping Station,22.47833333333333,114.2388888888889
75,Tai Po Wong Shiu Chi Secondary School,22.445555555555554,114.17166666666667
76,Tap Shek Kok,22.379166666666666,113.92
77,Tsim Bei Tsui,22.48638888888889,114.01166666666667
78,Tuen Mun Reservior,22.4075,113.98722222222223
79,Tai Tan Camp,22.435277777777777,114.33416666666666
